일련번호,시도,시군구,읍면동,리,구분,번,지
82662,경기도,시흥시,정왕동,,일반,2771,6
82663,경기도,남양주시,진건읍,진관리,일반,887,3
82664,부산광역시,기장군,정관읍,달산리,산,95,
82665,경기도,양주시,은현면,용암리,일반,189,5
82666,전라남도,여수시,웅천동,,일반,1722,5
82667,경기도,김포시,양촌읍,학운리,일반,2900,
82668,충청북도,음성군,금왕읍,유포리,일반,560,
82669,경상북도,구미시,산동읍,도중리,산,101,
82670,부산광역시,기장군,장안읍,오리,산,163,
82671,경상북도,영덕군,지품면,용덕리,일반,301,2
82672,울산광역시,남구,매암동,,일반,280,1
82673,충청남도,당진시,석문면,통정리,일반,796,10
82674,충청남도,청양군,청양읍,적누리,일반,237,
82675,충청남도,서산시,음암면,상홍리,일반,182,1
82676,충청남도,논산시,연무읍,동산리,일반,1003,
82677,대전광역시,유성구,어은동,,일반,114,5
82678,충청북도,청주시 흥덕구,오송읍,봉산리,일반,1139,
82679,대구광역시,달성군,구지면,내리,일반,632,
82680,충청남도,서산시,오남동,,일반,351,
82681,대구광역시,달성군,유가읍,금리,일반,1150,1
82682,경기도,파주시,맥금동,,일반,557,58
82683,충청북도,청주시 청원구,내수읍,원통리,일반,283,5
82684,충청남도,예산군,고덕면,상몽리,일반,578,
82685,충청북도,음성군,생극면,송곡리,일반,405,6
82686,경상북도,구미시,산동읍,봉산리,일반,386,8
82687,부산광역시,사하구,신평동,,일반,370,205
82688,부산광역시,강서구,신호동,,일반,307,3
82689,경상남도,밀양시,단장면,국전리,일반,1302,3
82690,경기도,남양주시,화도읍,가곡리,일반,327,29
82691,경기도,연천군,전곡읍,간파리,일반,353,
82692,전라남도,담양군,수북면,대방리,일반,550,
82693,경기도,김포시,양촌읍,학운리,일반,422,8
82694,충청북도,제천시,왕암동,,산,29,7
82695,충청북도,보은군,산외면,오대리,일반,365,
82696,경상북도,칠곡군,왜관읍,낙산리,일반,137,
82697,경상북도,안동시,풍산읍,괴정리,일반,132,
82698,경상남도,창원시 진해구,안골동,,일반,356,13
82699,충청남도,서산시,대산읍,대죽리,산,11,
82700,경상남도,창원시 의창구,동읍,월잠리,일반,203,1
82701,경상남도,사천시,사남면,유천리,일반,265,
82702,충청남도,천안시 동남구,목천읍,교촌리,일반,24,
82703,충청북도,충주시,대소원면,영평리,산,28,
82704,울산광역시,울주군,온산읍,덕신리,일반,630,29
82705,경기도,파주시,동패동,,일반,299,15
82706,서울특별시,구로구,구로동,,일반,1129,51
82707,경상남도,함안군,군북면,유현리,일반,1416,1
82708,부산광역시,강서구,범방동,,일반,1901,13
82709,충청북도,청주시 청원구,오창읍,양청리,일반,683,1
82710,경상북도,구미시,황상동,,일반,441,
82711,경기도,화성시,우정읍,조암리,일반,754,16
82712,전라남도,광양시,태인동,,일반,394,2
82713,대구광역시,서구,이현동,,일반,42,507
82714,경기도,파주시,월롱면,덕은리,일반,1293,5
82715,울산광역시,남구,여천동,,일반,895,27
82716,경상남도,사천시,용현면,통양리,산,6,3
82717,충청북도,음성군,대소면,대풍리,일반,5,96
82718,충청남도,보령시,화산동,,일반,552,1
82719,울산광역시,울주군,온산읍,덕신리,일반,1291,3
82720,경상남도,창원시 진해구,용원동,,일반,1253,8
82721,울산광역시,울주군,삼남읍,상천리,일반,883,
82722,경상북도,경산시,남산면,전지리,일반,572,1
82723,부산광역시,강서구,지사동,,일반,1192,16
82724,경기도,김포시,하성면,후평리,일반,695,2
82725,충청남도,서천군,장항읍,옥남리,일반,870,
82726,경상남도,창원시 마산합포구,진북면,망곡리,일반,90,
82727,충청남도,부여군,은산면,가중리,일반,126,2
82728,경기도,용인시 처인구,원삼면,문촌리,일반,191,3
82729,경상북도,영덕군,영해면,벌영리,일반,56,3
82730,충청북도,청주시 흥덕구,오송읍,정중리,일반,520,3
82731,경상남도,통영시,광도면,안정리,일반,43,5
82732,경상북도,칠곡군,왜관읍,금산리,일반,986,24
82733,경상남도,진주시,평거동,,일반,695,29
82734,경상남도,김해시,진례면,고모리,일반,320,3
82735,대구광역시,달서구,파호동,,일반,83,9
82736,울산광역시,울주군,온산읍,덕신리,일반,266,18
82737,경상남도,의령군,정곡면,죽전리,일반,470,1
82738,경기도,군포시,부곡동,,일반,1251,5
82739,경상북도,성주군,성주읍,예산리,일반,259,
82740,경상북도,경주시,강동면,왕신리,일반,421,1
82741,충청남도,공주시,탄천면,안영리,일반,832,
82742,울산광역시,울주군,청량읍,용암리,일반,61,10
82743,경기도,김포시,양촌읍,학운리,일반,2730,
82744,경상남도,함안군,대산면,장암리,일반,154,
82745,경상남도,창원시 진해구,죽곡동,,일반,428,
82746,경기도,포천시,소흘읍,초가팔리,일반,156,17
82747,경상남도,창원시 진해구,원포동,,일반,422,
82748,경기도,양주시,광사동,,일반,122,10
82749,경상북도,포항시 남구,연일읍,우복리,산,50,1
82750,제주특별자치도,서귀포시,성산읍,시흥리,일반,1648,
82751,경상북도,경주시,양남면,상계리,산,8,
82752,광주광역시,광산구,삼거동,,일반,876,
82753,대구광역시,북구,검단동,,일반,887,46
82754,울산광역시,울주군,범서읍,중리,일반,248,
82755,울산광역시,울주군,웅촌면,고연리,일반,1178,46
82756,경기도,포천시,가산면,마전리,일반,483,
82757,충청북도,충주시,대소원면,본리,일반,667,8
82758,대구광역시,북구,침산동,,일반,612,1
82759,경상남도,하동군,북천면,화정리,일반,663,9
82760,대구광역시,서구,이현동,,일반,44,94
82761,충청북도,청주시 흥덕구,화계동,,일반,205,
82762,울산광역시,울주군,언양읍,어음리,일반,51,
82763,광주광역시,북구,대촌동,,일반,751,3
82764,경기도,화성시,팔탄면,노하리,일반,444,7
82765,대전광역시,동구,하소동,,산,36,1
82766,경상북도,의성군,단밀면,낙정리,산,43,
82767,대전광역시,유성구,어은동,,일반,115,
82768,경상북도,안동시,풍산읍,매곡리,일반,975,3
82769,충청북도,충주시,동량면,조동리,일반,1001,1
82770,충청북도,충주시,동량면,조동리,일반,1056,1
82771,경기도,평택시,현덕면,운정리,일반,80,6
82772,충청북도,청주시 흥덕구,서촌동,,일반,268,2
82773,세종특별자치시,,전의면,신방리,일반,23,
82774,경기도,남양주시,화도읍,가곡리,일반,265,1
82775,경기도,광주시,양벌동,,일반,208,15
82776,충청남도,서산시,해미면,산수리,일반,145,5
82777,경상북도,칠곡군,지천면,신리,일반,461,3
82778,경기도,용인시 처인구,이동읍,덕성리,일반,496,1
82779,세종특별자치시,,부강면,금호리,일반,240,4
82780,울산광역시,남구,두왕동,,일반,756,11
82781,경상남도,김해시,진례면,고모리,일반,571,4
82782,전라남도,무안군,운남면,성내리,일반,1421,184
82783,경기도,시흥시,정왕동,,일반,2751,5
82784,경기도,화성시,송산면,고포리,일반,586,3
82785,충청북도,청주시 청원구,오창읍,양청리,일반,691,9
82786,경기도,포천시,군내면,하성북리,일반,19,2
82787,경기도,파주시,법원읍,대능리,일반,45,6
82788,경기도,화성시,방교동,,일반,800,7
82789,경상남도,함안군,칠서면,청계리,일반,763,10
82790,경상북도,예천군,예천읍,대심리,일반,724,
82791,울산광역시,울주군,온산읍,덕신리,일반,1339,18
82792,경상남도,고성군,고성읍,율대리,일반,158,20
82793,대전광역시,유성구,궁동,,일반,406,15
82794,경상남도,김해시,진례면,담안리,일반,1531,8
82795,부산광역시,강서구,지사동,,일반,1191,8
82796,충청남도,서산시,성연면,왕정리,일반,266,30
82797,충청남도,홍성군,갈산면,기산리,일반,861,2
82798,전라남도,여수시,신월동,,일반,462,22
82799,경상남도,창원시 진해구,용원동,,일반,1263,10
82800,경기도,평택시,포승읍,신영리,일반,3,
